id,latcoord,longcoord
26,49.495560,11.085843
26D,49.495708,11.085569
27,49.495671,11.085097
27E,49.495681,11.085056
28D,49.495676,11.084769
28,49.495782,11.084542
30,49.495958,11.082606
31,49.495903,11.081843
32,49.496032,11.081079
33,49.496162,11.080315
34,49.496292,11.079551
35,49.496236,11.078787
40,49.496282,11.071407
40D,49.496310,11.071481
40E,49.496361,11.071111
41,49.496384,11.070940
41D,49.496444,11.070685
42,49.496481,11.070287
43D,49.496394,11.069889
43,49.496398,11.069634
44,49.496500,11.068981
81,49.495653,11.071569
82,49.495560,11.071000
83,49.495625,11.070523
84,49.495718,11.070139
85,49.495782,11.069477
86,49.495875,11.069093
01,49.494597,11.083694
02,49.494514,11.083227
03,49.494773,11.082282
04,49.494829,11.081801
05,49.494806,11.081162
06,49.494917,11.080495
09,49.495083,11.078611
10,49.495125,11.077949
11,49.495236,11.077403
12,49.495343,11.076704
13,49.495278,11.076005
14,49.495394,11.075241
15,49.495491,11.074588
16,49.495593,11.073935
