id,latcoord,longcoord,
101,53.531599,9.832884,
102,53.531407,9.833536,
103,53.531255,9.834083,
104,53.531105,9.834646,
105,53.530953,9.835196,
106,53.530763,9.835886,
107,53.530607,9.836442,
108,53.530456,9.837,
109,53.530311,9.83755,
110,53.530138,9.838093,
120,53.532694,9.835389,
121,53.532611,9.836028,
122,53.532639,9.836639,
201,53.540446,9.823477,
202,53.54023,9.82483,
215,53.539119,9.819653,
216,53.538884,9.821139,
217,53.53865,9.822473,
218,53.538424,9.823957,
219,53.538219,9.825316,
220,53.537917,9.826778,
248,53.544139,9.821972,
249,53.543944,9.823306,
382,53.536278,9.829083,
219 L,53.537945,9.824796,
219 R,53.537837,9.825469,
,,,
